model,activity,trim_condition,frame_count,prompt_type,view,file,test_type,n,observed_accuracy,test_statistic,p_value,significant_at_0.05
qwen,dance,trimmed,16,reasoning,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_reasoning.csv,chi-squared,100,0.25,300.0,9.948758346327588e-65,yes
qwen,dance,trimmed,16,reasoning,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_reasoning.csv,chi-squared,99,0.24,101.202,8.57086553253837e-22,yes
qwen,dance,trimmed,8,reasoning,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_reasoning.csv,chi-squared,100,0.25,300.0,9.948758346327588e-65,yes
qwen,dance,trimmed,8,reasoning,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_reasoning.csv,chi-squared,100,0.27,39.84,1.1520491323631054e-08,yes
qwen,dance,entire,16,structured,ego,diss_dance/results/qwen/qwen_dance_entire_n16_structured.csv,chi-squared,98,0.23,108.9388,1.8565637639372327e-23,yes
qwen,dance,entire,16,structured,exo,diss_dance/results/qwen/qwen_dance_entire_n16_structured.csv,chi-squared,100,0.41,103.92,2.230841728078366e-22,yes
qwen,dance,entire,8,structured,ego,diss_dance/results/qwen/qwen_dance_entire_n8_structured.csv,chi-squared,98,0.25,171.4694,6.1297094593561125e-37,yes
qwen,dance,entire,8,structured,exo,diss_dance/results/qwen/qwen_dance_entire_n8_structured.csv,chi-squared,98,0.32,109.7551,1.2389080131292468e-23,yes
qwen,dance,trimmed,16,structured,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_structured.csv,chi-squared,96,0.28,112.3333,3.452524421044032e-24,yes
qwen,dance,trimmed,16,structured,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_structured.csv,chi-squared,100,0.39,135.28,3.9359863139097964e-29,yes
qwen,dance,trimmed,8,structured,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_structured.csv,chi-squared,99,0.24,145.5657,2.3836482412098437e-31,yes
qwen,dance,trimmed,8,structured,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_structured.csv,chi-squared,99,0.35,104.8384,1.4155305091086475e-22,yes
videollava,climbing,entire,16,binary,ego,dissertation_v2/results/videollava/vl_climbing_entire_n16_binary.csv,binomial,50,0.32,0.32,0.015346677832630107,yes
videollava,climbing,entire,16,binary,exo,dissertation_v2/results/videollava/vl_climbing_entire_n16_binary.csv,binomial,50,0.76,0.76,0.00030586400160359517,yes
videollava,climbing,entire,32,binary,ego,dissertation_v2/results/videollava/binary_n32.csv,binomial,50,0.0,0.0,1.7763568394002505e-15,yes
videollava,climbing,entire,32,binary,exo,dissertation_v2/results/videollava/binary_n32.csv,binomial,50,0.0,0.0,1.7763568394002505e-15,yes
videollava,climbing,entire,8,binary,ego,dissertation_v2/results/videollava/vl_climbing_entire_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
videollava,climbing,entire,8,binary,exo,dissertation_v2/results/videollava/vl_climbing_entire_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
videollava,climbing,trimmed,16,binary,ego,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_ego_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
videollava,climbing,trimmed,16,binary,exo,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_exo_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
videollava,climbing,trimmed,8,binary,ego,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_ego_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
videollava,climbing,trimmed,8,binary,exo,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_exo_n8_binary.csv,binomial,50,0.6,0.6,0.20263875106454066,no
videollava,climbing,entire,8,fourclass,ego,dissertation_v2/results/videollava/vl_climbing_entire_n8_fourclass.csv,chi-squared,91,0.24,273.0,6.924792712204763e-59,yes
videollava,climbing,entire,8,fourclass,exo,dissertation_v2/results/videollava/vl_climbing_entire_n8_fourclass.csv,chi-squared,91,0.24,273.0,6.924792712204763e-59,yes
videollava,climbing,trimmed,16,fourclass,ego,dissertation_v2/results/videollava/trimmed/fourclass_n16.csv,chi-squared,5,0.02,15.0,0.0018166489665723223,yes
videollava,climbing,trimmed,16,fourclass,exo,dissertation_v2/results/videollava/trimmed/fourclass_n16.csv,chi-squared,17,0.02,51.0,4.892085504308549e-11,yes
videollava,climbing,trimmed,8,fourclass,ego,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_n8_fourclass.csv,chi-squared,98,0.24,294.0,1.978311225294931e-63,yes
videollava,climbing,trimmed,8,fourclass,exo,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_n8_fourclass.csv,chi-squared,98,0.25,242.0,3.515596684662454e-52,yes
videollava,climbing,entire,8,reasoning,ego,dissertation_v2/results/videollava/reasoning_n8_test03.csv,chi-squared,54,0.09,59.037,9.439533618812767e-13,yes
videollava,climbing,entire,8,reasoning,ego,dissertation_v2/results/videollava/reasoning_n8_test03_fixed.csv,chi-squared,41,0.11,107.5854,3.6302222316907345e-23,yes
videollava,climbing,entire,8,reasoning,ego,dissertation_v2/results/videollava/vl_climbing_entire_n8_reasoning.csv,chi-squared,53,0.1,47.0,3.4756068589007926e-10,yes
videollava,climbing,entire,8,reasoning,ego,dissertation_v2/results/videollava/vl_climbing_entire_n8_reasoning_fixed.csv,chi-squared,52,0.12,36.4615,5.981233739473933e-08,yes
videollava,climbing,entire,8,reasoning,exo,dissertation_v2/results/videollava/reasoning_n8_test03.csv,chi-squared,59,0.17,60.5254,4.5392666735910046e-13,yes
videollava,climbing,entire,8,reasoning,exo,dissertation_v2/results/videollava/reasoning_n8_test03_fixed.csv,chi-squared,74,0.18,191.7297,2.5819667832217097e-41,yes
videollava,climbing,entire,8,reasoning,exo,dissertation_v2/results/videollava/vl_climbing_entire_n8_reasoning.csv,chi-squared,48,0.08,48.6667,1.5359859753410174e-10,yes
videollava,climbing,entire,8,reasoning,exo,dissertation_v2/results/videollava/vl_climbing_entire_n8_reasoning_fixed.csv,chi-squared,91,0.22,167.5055,4.397121885736888e-36,yes
videollava,climbing,trimmed,8,reasoning,ego,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_n8_reasoning.csv,chi-squared,71,0.13,64.9437,5.1571606417888585e-14,yes
videollava,climbing,trimmed,8,reasoning,exo,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_n8_reasoning.csv,chi-squared,72,0.18,141.4444,1.845018210708438e-30,yes
videollava,climbing,entire,8,structured,ego,dissertation_v2/results/videollava/vl_climbing_entire_n8_structured.csv,chi-squared,91,0.23,102.7143,4.05321680691065e-22,yes
videollava,climbing,entire,8,structured,exo,dissertation_v2/results/videollava/vl_climbing_entire_n8_structured.csv,chi-squared,91,0.26,168.3846,2.8404896177393307e-36,yes
videollava,climbing,trimmed,8,structured,ego,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_n8_structured.csv,chi-squared,98,0.3,67.9592,1.1672664463678076e-14,yes
videollava,climbing,trimmed,8,structured,exo,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_n8_structured.csv,chi-squared,98,0.15,63.1429,1.251775718165504e-13,yes
videollava,dance,entire,16,binary,ego,diss_dance/results/videollava/vl_dance_entire_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
videollava,dance,entire,16,binary,exo,diss_dance/results/videollava/vl_dance_entire_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
videollava,dance,entire,8,binary,ego,diss_dance/results/videollava/vl_dance_entire_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
videollava,dance,entire,8,binary,exo,diss_dance/results/videollava/vl_dance_entire_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
videollava,dance,trimmed,16,binary,ego,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
videollava,dance,trimmed,16,binary,exo,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
videollava,dance,trimmed,8,binary,ego,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
videollava,dance,trimmed,8,binary,exo,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
videollava,dance,entire,8,fourclass,ego,diss_dance/results/videollava/vl_dance_entire_n8_fourclass.csv,chi-squared,100,0.25,300.0,9.948758346327588e-65,yes
videollava,dance,entire,8,fourclass,exo,diss_dance/results/videollava/vl_dance_entire_n8_fourclass.csv,chi-squared,100,0.25,300.0,9.948758346327588e-65,yes
videollava,dance,trimmed,8,fourclass,ego,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_fourclass.csv,chi-squared,100,0.25,300.0,9.948758346327588e-65,yes
videollava,dance,trimmed,8,fourclass,exo,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_fourclass.csv,chi-squared,100,0.25,300.0,9.948758346327588e-65,yes
videollava,dance,entire,8,reasoning,ego,diss_dance/results/videollava/vl_dance_entire_n8_reasoning.csv,chi-squared,97,0.24,275.2474,2.260229823761525e-59,yes
videollava,dance,entire,8,reasoning,exo,diss_dance/results/videollava/vl_dance_entire_n8_reasoning.csv,chi-squared,95,0.25,277.0842,9.051761435279628e-60,yes
videollava,dance,trimmed,8,reasoning,ego,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_reasoning.csv,chi-squared,94,0.3,208.2128,7.086586258286993e-45,yes
videollava,dance,trimmed,8,reasoning,exo,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_reasoning.csv,chi-squared,91,0.22,242.0549,3.420714066263956e-52,yes
videollava,dance,entire,8,structured,ego,diss_dance/results/videollava/vl_dance_entire_n8_structured.csv,chi-squared,100,0.23,44.08,1.451267946524604e-09,yes
videollava,dance,entire,8,structured,exo,diss_dance/results/videollava/vl_dance_entire_n8_structured.csv,chi-squared,100,0.19,54.24,9.973094460724813e-12,yes
videollava,dance,trimmed,8,structured,ego,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_structured.csv,chi-squared,100,0.24,60.96,3.665417328328304e-13,yes
videollava,dance,trimmed,8,structured,exo,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_structured.csv,chi-squared,100,0.26,36.56,5.701196496820776e-08,yes
